Fri Apr  3 22:52:34 PDT 2026 | SKIPPED | rodent_run_gap/progress500_only train_setup.train_config.num_timesteps=300_000_000 train_setup.train_config.prior_residual_start_weight=0.02 train_setup.train_config.prior_residual_end_weight=0.02 logging_config.exp_name=prog500_prior0.02
Tue Apr  7 21:59:38 PDT 2026 | SKIPPED | !cd /home/talmolab/Desktop/SalkResearch/vnl-playground && source /home/talmolab/Desktop/SalkResearch/mimic-mjx/bin/activate && python -m vnl_playground.tasks.rodent.analysis.collect_rollout_hdf5 --checkpoint_path /home/talmolab/Desktop/SalkResearch/vnl-playground/highlvl_checkpoints/260404_224517 --output_path /home/talmolab/Desktop/SalkResearch/analysis/2026-04-07-run-gap-rollout-analysis/vel09_variable_gap.h5 --mode variable_gap --n_episodes 50 --n_envs 2 --min_gaps_crossed 8 --seed 42
Tue Apr  7 21:59:58 PDT 2026 | SKIPPED | !cd /home/talmolab/Desktop/SalkResearch/vnl-playground && source /home/talmolab/Desktop/SalkResearch/mimic-mjx/bin/activate && python -m vnl_playground.tasks.rodent.analysis.collect_rollout_hdf5 --checkpoint_path /home/talmolab/Desktop/SalkResearch/vnl-playground/highlvl_checkpoints/260407_154437 --output_path /home/talmolab/Desktop/SalkResearch/analysis/2026-04-07-run-gap-rollout-analysis/vel_range_variable_gap.h5 --mode variable_gap --n_episodes 50 --n_envs 2 --min_gaps_crossed 8 --seed 42
Tue Apr  7 22:10:53 PDT 2026 | SKIPPED | !cd /home/talmolab/Desktop/SalkResearch/vnl-playground && source /home/talmolab/Desktop/SalkResearch/mimic-mjx/bin/activate && python -m vnl_playground.tasks.rodent.analysis.collect_rollout_hdf5 --checkpoint_path /home/talmolab/Desktop/SalkResearch/vnl-playground/highlvl_checkpoints/260404_165224 --output_path /home/talmolab/Desktop/SalkResearch/analysis/2026-04-07-run-gap-rollout-analysis/vel08_variable_gap.h5 --mode variable_gap --n_episodes 50 --n_envs 4 --min_gaps_crossed 3 --seed 42
Tue Apr  7 22:11:13 PDT 2026 | exit=0 | !cd /home/talmolab/Desktop/SalkResearch/vnl-playground && source /home/talmolab/Desktop/SalkResearch/mimic-mjx/bin/activate && python -m vnl_playground.tasks.rodent.analysis.collect_rollout_hdf5 --checkpoint_path /home/talmolab/Desktop/SalkResearch/vnl-playground/highlvl_checkpoints/260404_165224 --output_path /home/talmolab/Desktop/SalkResearch/analysis/2026-04-07-run-gap-rollout-analysis/vel08_fixed_gap.h5 --mode fixed_gap --gap_min 0.03 --gap_max 0.20 --gap_step 0.01 --episodes_per_gap 20 --n_envs 4 --n_gaps_per_env 20 --seed 42
Tue Apr  7 22:11:33 PDT 2026 | SKIPPED | !cd /home/talmolab/Desktop/SalkResearch/vnl-playground && source /home/talmolab/Desktop/SalkResearch/mimic-mjx/bin/activate && python -m vnl_playground.tasks.rodent.analysis.collect_rollout_hdf5 --checkpoint_path /home/talmolab/Desktop/SalkResearch/vnl-playground/highlvl_checkpoints/260404_224517 --output_path /home/talmolab/Desktop/SalkResearch/analysis/2026-04-07-run-gap-rollout-analysis/vel09_variable_gap.h5 --mode variable_gap --n_episodes 50 --n_envs 4 --min_gaps_crossed 3 --seed 42
Tue Apr  7 22:17:18 PDT 2026 | exit=0 | !cd /home/talmolab/Desktop/SalkResearch/vnl-playground && source /home/talmolab/Desktop/SalkResearch/mimic-mjx/bin/activate && python -m vnl_playground.tasks.rodent.analysis.collect_rollout_hdf5 --checkpoint_path /home/talmolab/Desktop/SalkResearch/vnl-playground/highlvl_checkpoints/260404_165224 --output_path /home/talmolab/Desktop/SalkResearch/analysis/2026-04-07-run-gap-rollout-analysis/vel08_variable_gap.h5 --mode variable_gap --n_episodes 50 --n_envs 32 --min_gaps_crossed 3 --seed 42
Tue Apr  7 22:18:33 PDT 2026 | exit=0 | !cd /home/talmolab/Desktop/SalkResearch/vnl-playground && source /home/talmolab/Desktop/SalkResearch/mimic-mjx/bin/activate && python -m vnl_playground.tasks.rodent.analysis.collect_rollout_hdf5 --checkpoint_path /home/talmolab/Desktop/SalkResearch/vnl-playground/highlvl_checkpoints/260404_165224 --output_path /home/talmolab/Desktop/SalkResearch/analysis/2026-04-07-run-gap-rollout-analysis/vel08_fixed_gap.h5 --mode fixed_gap --gap_min 0.03 --gap_max 0.20 --gap_step 0.01 --episodes_per_gap 20 --n_envs 32 --n_gaps_per_env 20 --seed 42
Tue Apr  7 22:20:53 PDT 2026 | exit=0 | !cd /home/talmolab/Desktop/SalkResearch/vnl-playground && source /home/talmolab/Desktop/SalkResearch/mimic-mjx/bin/activate && python -m vnl_playground.tasks.rodent.analysis.collect_rollout_hdf5 --checkpoint_path /home/talmolab/Desktop/SalkResearch/vnl-playground/highlvl_checkpoints/260404_224517 --output_path /home/talmolab/Desktop/SalkResearch/analysis/2026-04-07-run-gap-rollout-analysis/vel09_variable_gap.h5 --mode variable_gap --n_episodes 50 --n_envs 32 --min_gaps_crossed 3 --seed 42
Tue Apr  7 22:22:33 PDT 2026 | exit=0 | !cd /home/talmolab/Desktop/SalkResearch/vnl-playground && source /home/talmolab/Desktop/SalkResearch/mimic-mjx/bin/activate && python -m vnl_playground.tasks.rodent.analysis.collect_rollout_hdf5 --checkpoint_path /home/talmolab/Desktop/SalkResearch/vnl-playground/highlvl_checkpoints/260404_224517 --output_path /home/talmolab/Desktop/SalkResearch/analysis/2026-04-07-run-gap-rollout-analysis/vel09_fixed_gap.h5 --mode fixed_gap --gap_min 0.03 --gap_max 0.20 --gap_step 0.01 --episodes_per_gap 20 --n_envs 32 --n_gaps_per_env 20 --seed 42
Tue Apr  7 22:24:54 PDT 2026 | exit=0 | !cd /home/talmolab/Desktop/SalkResearch/vnl-playground && source /home/talmolab/Desktop/SalkResearch/mimic-mjx/bin/activate && python -m vnl_playground.tasks.rodent.analysis.collect_rollout_hdf5 --checkpoint_path /home/talmolab/Desktop/SalkResearch/vnl-playground/highlvl_checkpoints/260407_154437 --output_path /home/talmolab/Desktop/SalkResearch/analysis/2026-04-07-run-gap-rollout-analysis/vel_range_variable_gap.h5 --mode variable_gap --n_episodes 50 --n_envs 32 --min_gaps_crossed 3 --seed 42
Tue Apr  7 22:25:59 PDT 2026 | exit=0 | !cd /home/talmolab/Desktop/SalkResearch/vnl-playground && source /home/talmolab/Desktop/SalkResearch/mimic-mjx/bin/activate && python -m vnl_playground.tasks.rodent.analysis.collect_rollout_hdf5 --checkpoint_path /home/talmolab/Desktop/SalkResearch/vnl-playground/highlvl_checkpoints/260407_154437 --output_path /home/talmolab/Desktop/SalkResearch/analysis/2026-04-07-run-gap-rollout-analysis/vel_range_fixed_gap.h5 --mode fixed_gap --gap_min 0.03 --gap_max 0.20 --gap_step 0.01 --episodes_per_gap 20 --n_envs 32 --n_gaps_per_env 20 --seed 42
Tue Apr  7 22:26:14 PDT 2026 | exit=0 | !cd /home/talmolab/Desktop/SalkResearch/vnl-playground && source /home/talmolab/Desktop/SalkResearch/mimic-mjx/bin/activate && python -m vnl_playground.tasks.rodent.analysis.collect_rollout_hdf5 --checkpoint_path /home/talmolab/Desktop/SalkResearch/vnl-playground/highlvl_checkpoints/260404_165224 --output_path /home/talmolab/Desktop/SalkResearch/analysis/2026-04-07-run-gap-rollout-analysis/vel08_fixed_gap.h5 --mode fixed_gap --gap_min 0.03 --gap_max 0.20 --gap_step 0.01 --episodes_per_gap 20 --n_envs 32 --n_gaps_per_env 20 --seed 42
