Fri Apr  3 22:52:34 PDT 2026 | SKIPPED | rodent_run_gap/progress500_only train_setup.train_config.num_timesteps=300_000_000 train_setup.train_config.prior_residual_start_weight=0.02 train_setup.train_config.prior_residual_end_weight=0.02 logging_config.exp_name=prog500_prior0.02
Wed Apr  8 00:19:21 PDT 2026 | exit=0 | !cd /home/talmolab/Desktop/SalkResearch/vnl-playground && source /home/talmolab/Desktop/SalkResearch/mimic-mjx/bin/activate && XLA_PYTHON_CLIENT_PREALLOCATE=false python -m vnl_playground.tasks.rodent.analysis.collect_rollout_hdf5 --checkpoint_path /home/talmolab/Desktop/SalkResearch/vnl-playground/highlvl_checkpoints/260404_165224 --output_path /home/talmolab/Desktop/SalkResearch/analysis/2026-04-07-run-gap-rollout-analysis/vel08_fixed_gap_0.18.h5 --mode fixed_gap --gap_min 0.180 --gap_max 0.180 --gap_step 0.01 --episodes_per_gap 20 --n_envs 64 --n_gaps_per_env 20 --seed 57
Wed Apr  8 00:19:31 PDT 2026 | exit=0 | !cd /home/talmolab/Desktop/SalkResearch/vnl-playground && source /home/talmolab/Desktop/SalkResearch/mimic-mjx/bin/activate && XLA_PYTHON_CLIENT_PREALLOCATE=false python -m vnl_playground.tasks.rodent.analysis.collect_rollout_hdf5 --checkpoint_path /home/talmolab/Desktop/SalkResearch/vnl-playground/highlvl_checkpoints/260404_165224 --output_path /home/talmolab/Desktop/SalkResearch/analysis/2026-04-07-run-gap-rollout-analysis/vel08_fixed_gap_0.19.h5 --mode fixed_gap --gap_min 0.190 --gap_max 0.190 --gap_step 0.01 --episodes_per_gap 20 --n_envs 64 --n_gaps_per_env 20 --seed 58
Wed Apr  8 00:20:01 PDT 2026 | exit=0 | !cd /home/talmolab/Desktop/SalkResearch/vnl-playground && source /home/talmolab/Desktop/SalkResearch/mimic-mjx/bin/activate && XLA_PYTHON_CLIENT_PREALLOCATE=false python -m vnl_playground.tasks.rodent.analysis.collect_rollout_hdf5 --checkpoint_path /home/talmolab/Desktop/SalkResearch/vnl-playground/highlvl_checkpoints/260404_165224 --output_path /home/talmolab/Desktop/SalkResearch/analysis/2026-04-07-run-gap-rollout-analysis/vel08_fixed_gap_0.20.h5 --mode fixed_gap --gap_min 0.200 --gap_max 0.200 --gap_step 0.01 --episodes_per_gap 20 --n_envs 64 --n_gaps_per_env 20 --seed 59
Wed Apr  8 00:21:01 PDT 2026 | exit=0 | !cd /home/talmolab/Desktop/SalkResearch/vnl-playground && source /home/talmolab/Desktop/SalkResearch/mimic-mjx/bin/activate && XLA_PYTHON_CLIENT_PREALLOCATE=false python -m vnl_playground.tasks.rodent.analysis.collect_rollout_hdf5 --checkpoint_path /home/talmolab/Desktop/SalkResearch/vnl-playground/highlvl_checkpoints/260404_224517 --output_path /home/talmolab/Desktop/SalkResearch/analysis/2026-04-07-run-gap-rollout-analysis/vel09_fixed_gap_0.03.h5 --mode fixed_gap --gap_min 0.030 --gap_max 0.030 --gap_step 0.01 --episodes_per_gap 20 --n_envs 64 --n_gaps_per_env 20 --seed 42
Wed Apr  8 00:21:56 PDT 2026 | exit=0 | !cd /home/talmolab/Desktop/SalkResearch/vnl-playground && source /home/talmolab/Desktop/SalkResearch/mimic-mjx/bin/activate && XLA_PYTHON_CLIENT_PREALLOCATE=false python -m vnl_playground.tasks.rodent.analysis.collect_rollout_hdf5 --checkpoint_path /home/talmolab/Desktop/SalkResearch/vnl-playground/highlvl_checkpoints/260404_224517 --output_path /home/talmolab/Desktop/SalkResearch/analysis/2026-04-07-run-gap-rollout-analysis/vel09_fixed_gap_0.05.h5 --mode fixed_gap --gap_min 0.050 --gap_max 0.050 --gap_step 0.01 --episodes_per_gap 20 --n_envs 64 --n_gaps_per_env 20 --seed 44
Wed Apr  8 00:22:56 PDT 2026 | exit=0 | !cd /home/talmolab/Desktop/SalkResearch/vnl-playground && source /home/talmolab/Desktop/SalkResearch/mimic-mjx/bin/activate && XLA_PYTHON_CLIENT_PREALLOCATE=false python -m vnl_playground.tasks.rodent.analysis.collect_rollout_hdf5 --checkpoint_path /home/talmolab/Desktop/SalkResearch/vnl-playground/highlvl_checkpoints/260404_224517 --output_path /home/talmolab/Desktop/SalkResearch/analysis/2026-04-07-run-gap-rollout-analysis/vel09_fixed_gap_0.06.h5 --mode fixed_gap --gap_min 0.060 --gap_max 0.060 --gap_step 0.01 --episodes_per_gap 20 --n_envs 64 --n_gaps_per_env 20 --seed 45
Wed Apr  8 00:23:51 PDT 2026 | exit=0 | !cd /home/talmolab/Desktop/SalkResearch/vnl-playground && source /home/talmolab/Desktop/SalkResearch/mimic-mjx/bin/activate && XLA_PYTHON_CLIENT_PREALLOCATE=false python -m vnl_playground.tasks.rodent.analysis.collect_rollout_hdf5 --checkpoint_path /home/talmolab/Desktop/SalkResearch/vnl-playground/highlvl_checkpoints/260404_224517 --output_path /home/talmolab/Desktop/SalkResearch/analysis/2026-04-07-run-gap-rollout-analysis/vel09_fixed_gap_0.07.h5 --mode fixed_gap --gap_min 0.070 --gap_max 0.070 --gap_step 0.01 --episodes_per_gap 20 --n_envs 64 --n_gaps_per_env 20 --seed 46
Wed Apr  8 00:24:36 PDT 2026 | SKIPPED | !cd /home/talmolab/Desktop/SalkResearch/vnl-playground && source /home/talmolab/Desktop/SalkResearch/mimic-mjx/bin/activate && XLA_PYTHON_CLIENT_PREALLOCATE=false python -m vnl_playground.tasks.rodent.analysis.collect_rollout_hdf5 --checkpoint_path /home/talmolab/Desktop/SalkResearch/vnl-playground/highlvl_checkpoints/260404_224517 --output_path /home/talmolab/Desktop/SalkResearch/analysis/2026-04-07-run-gap-rollout-analysis/vel09_fixed_gap_0.08.h5 --mode fixed_gap --gap_min 0.080 --gap_max 0.080 --gap_step 0.01 --episodes_per_gap 20 --n_envs 64 --n_gaps_per_env 20 --seed 47
Wed Apr  8 00:25:46 PDT 2026 | exit=0 | !cd /home/talmolab/Desktop/SalkResearch/vnl-playground && source /home/talmolab/Desktop/SalkResearch/mimic-mjx/bin/activate && XLA_PYTHON_CLIENT_PREALLOCATE=false python -m vnl_playground.tasks.rodent.analysis.collect_rollout_hdf5 --checkpoint_path /home/talmolab/Desktop/SalkResearch/vnl-playground/highlvl_checkpoints/260404_224517 --output_path /home/talmolab/Desktop/SalkResearch/analysis/2026-04-07-run-gap-rollout-analysis/vel09_fixed_gap_0.09.h5 --mode fixed_gap --gap_min 0.090 --gap_max 0.090 --gap_step 0.01 --episodes_per_gap 20 --n_envs 64 --n_gaps_per_env 20 --seed 48
Wed Apr  8 08:22:35 PDT 2026 | SKIPPED | rodent_run_gap/velocity_range_only transfer.prior_checkpoint_path=/home/talmolab/Desktop/SalkResearch/SCAMPER/model_checkpoints/260407_183223_056788 logging_config.exp_name=vel_range_combined_prior
Wed Apr  8 14:12:47 PDT 2026 | exit=0 | rodent_run_gap/velocity_only transfer.prior_checkpoint_path=/home/talmolab/Desktop/SalkResearch/SCAMPER/model_checkpoints/260407_183223_056788 env_config.env_args.reward_terms.forward_velocity.target_speed=0.8 logging_config.exp_name=vel0.8_combined_prior
Wed Apr  8 14:35:17 PDT 2026 | exit=0 | rodent_run_gap/rnn_velocity_range_only
Wed Apr  8 19:59:39 PDT 2026 | SKIPPED | rodent_run_gap/velocity_range_only transfer.prior_checkpoint_path=/home/talmolab/Desktop/SalkResearch/SCAMPER/model_checkpoints/260407_183223_056788 logging_config.exp_name=vel_range_combined_prior +train_setup.resume_run_id=260408_005645
Wed Apr  8 20:06:19 PDT 2026 | SKIPPED | rodent_run_gap/rnn_velocity_only
Wed Apr  8 20:06:49 PDT 2026 | SKIPPED | rodent_run_gap/rnn_large_gap_0.3
Wed Apr  8 21:38:55 PDT 2026 | SKIPPED | rodent_run_gap/rnn_velocity_only
Thu Apr  9 03:39:01 PDT 2026 | exit=0 | rodent_run_gap/velocity_only transfer.prior_checkpoint_path=/home/talmolab/Desktop/SalkResearch/SCAMPER/model_checkpoints/260407_183223_056788 env_config.env_args.reward_terms.forward_velocity.target_speed=0.8 logging_config.exp_name=vel0.8_combined_prior train_setup.train_config.num_timesteps=2_000_000_000 +train_setup.resume_run_id=260408_082253
Thu Apr  9 17:11:06 PDT 2026 | exit=0 | rodent_run_gap/rnn_velocity_only +train_setup.resume_run_id=260408_205126
Mon Apr 13 11:56:18 PDT 2026 | SKIPPED | rodent_run_gap/velocity_only_scratch_torque
Mon Apr 13 23:27:05 PDT 2026 | exit=0 | rodent_run_gap/velocity_only_scratch_position
Tue Apr 14 06:17:48 PDT 2026 | SKIPPED | rodent_run_gap/velocity_range_only train_setup.train_config.num_timesteps=1_200_000_000 +train_setup.train_config.lr_schedule=linear +train_setup.train_config.lr_end_value=1e-5 +train_setup.train_config.lr_hold_frac=0.5 logging_config.exp_name=vel_range_0.5_1.0_lr_anneal_1.2B
Tue Apr 14 07:28:19 PDT 2026 | SKIPPED | rodent_run_gap/velocity_range_only train_setup.train_config.num_timesteps=1_200_000_000 +train_setup.train_config.lr_schedule=linear +train_setup.train_config.lr_end_value=1e-5 +train_setup.train_config.lr_hold_frac=0.5
Tue Apr 14 11:47:18 PDT 2026 | exit=0 | !cd /home/talmolab/Desktop/SalkResearch/SCAMPER && python -m scamper.train_prior --config-name=rodent-prior-warp teacher_config.checkpoint_path=/home/talmolab/Desktop/SalkResearch/track-mjx/model_checkpoints/260407_100343_882365 +env_config.reference_data_path=/home/talmolab/Desktop/SalkResearch/track-mjx/data/rodent/rodent_combined_reference_clips.h5 +env_config.reference_stride=1 logging_config.exp_name=prior_combined_clips logging_config.group_name=prior_distillation logging_config.model_path=model_checkpoints/
Tue Apr 14 18:56:21 PDT 2026 | exit=0 | rodent_run_gap/velocity_range_only train_setup.train_config.num_timesteps=1_200_000_000 +train_setup.train_config.lr_schedule=linear +train_setup.train_config.lr_end_value=1e-5 +train_setup.train_config.lr_hold_frac=0.5 transfer.prior_checkpoint_path=/home/talmolab/Desktop/SalkResearch/SCAMPER/model_checkpoints/260414_072827_774853 logging_config.exp_name=vel_range_combined_prior
Tue Apr 21 20:50:01 PDT 2026 | SKIPPED | bowl_escape_transfer_warp transfer.mimic_run_id=260324_225658_650153 logging_config.exp_name=noise_add_0.1
Tue Apr 21 20:51:41 PDT 2026 | SKIPPED | bowl_escape_transfer_warp transfer.mimic_run_id=\"260324_225658_650153\" logging_config.exp_name=noise_add_0.1
Tue Apr 21 22:37:03 PDT 2026 | exit=0 | !cd /home/talmolab/Desktop/SalkResearch/vnl-playground && ./vnl_playground/run_with_autoresume.sh --fresh --config-name=bowl_escape_transfer_warp 'transfer.mimic_run_id="260324_225658_650153"' logging_config.exp_name=noise_add_0.1
Wed Apr 22 00:22:10 PDT 2026 | exit=0 | !cd /home/talmolab/Desktop/SalkResearch/vnl-playground && ./vnl_playground/run_with_autoresume.sh --fresh --config-name=bowl_escape_transfer_warp 'transfer.mimic_run_id="260325_033549_615932"' logging_config.exp_name=noise_add_0.2
Wed Apr 22 02:05:46 PDT 2026 | exit=0 | !cd /home/talmolab/Desktop/SalkResearch/vnl-playground && ./vnl_playground/run_with_autoresume.sh --fresh --config-name=bowl_escape_transfer_warp 'transfer.mimic_run_id="260325_081445_999447"' logging_config.exp_name=noise_add_0.3
Wed Apr 22 03:49:33 PDT 2026 | exit=0 | !cd /home/talmolab/Desktop/SalkResearch/vnl-playground && ./vnl_playground/run_with_autoresume.sh --fresh --config-name=bowl_escape_transfer_warp 'transfer.mimic_run_id="260325_142833_554898"' logging_config.exp_name=noise_add_0.4
Wed Apr 22 05:34:00 PDT 2026 | exit=0 | !cd /home/talmolab/Desktop/SalkResearch/vnl-playground && ./vnl_playground/run_with_autoresume.sh --fresh --config-name=bowl_escape_transfer_warp 'transfer.mimic_run_id="260325_190737_264109"' logging_config.exp_name=noise_add_0.5
Wed Apr 22 11:08:42 PDT 2026 | exit=0 | !cd /home/talmolab/Desktop/SalkResearch/vnl-playground && ./vnl_playground/run_with_autoresume.sh --fresh --config-name=bowl_escape_transfer_warp 'transfer.mimic_run_id="260324_225658_650153"' logging_config.exp_name=noise_add_0.1_vsize025
Wed Apr 22 12:52:24 PDT 2026 | exit=0 | !cd /home/talmolab/Desktop/SalkResearch/vnl-playground && ./vnl_playground/run_with_autoresume.sh --fresh --config-name=bowl_escape_transfer_warp 'transfer.mimic_run_id="260325_033549_615932"' logging_config.exp_name=noise_add_0.2_vsize025
Wed Apr 22 14:36:01 PDT 2026 | exit=0 | !cd /home/talmolab/Desktop/SalkResearch/vnl-playground && ./vnl_playground/run_with_autoresume.sh --fresh --config-name=bowl_escape_transfer_warp 'transfer.mimic_run_id="260325_081445_999447"' logging_config.exp_name=noise_add_0.3_vsize025
Wed Apr 22 16:21:42 PDT 2026 | exit=0 | !cd /home/talmolab/Desktop/SalkResearch/vnl-playground && ./vnl_playground/run_with_autoresume.sh --fresh --config-name=bowl_escape_transfer_warp 'transfer.mimic_run_id="260325_142833_554898"' logging_config.exp_name=noise_add_0.4_vsize025
Wed Apr 22 18:06:29 PDT 2026 | exit=0 | !cd /home/talmolab/Desktop/SalkResearch/vnl-playground && ./vnl_playground/run_with_autoresume.sh --fresh --config-name=bowl_escape_transfer_warp 'transfer.mimic_run_id="260325_190737_264109"' logging_config.exp_name=noise_add_0.5_vsize025
